Date,EAFE ex JAPAN VALUE WEIGHTED
2000-01-19,2397.1035386041
2000-01-20,2387.549176151059
2000-01-21,2371.216122761248
2000-01-24,2357.053609037968
2000-01-25,2324.6927728491537
2000-01-26,2330.639909684661
2000-01-27,2334.3292663011653
2000-01-28,2302.8206004357735
2000-01-31,2256.6702269258944
2000-02-01,2266.8371667283996
2000-02-02,2283.218000572105
2000-02-03,2332.2530011950344
2000-02-04,2312.347858596097
2000-02-07,2293.1548218556786
2000-02-08,2339.7783803235507
2000-02-09,2342.0676608082586
2000-02-10,2330.9823305275954
2000-02-11,2324.0597021233143
2000-02-14,2298.6867999442843
2000-02-15,2279.062334336307
2000-02-16,2313.0254895907156
2000-02-17,2337.360471907454
2000-02-18,2319.2154423058946
2000-02-21,2302.8819783695335
2000-02-22,2328.9548891956197
2000-02-23,2346.353895498672
2000-02-24,2323.5345581701563
2000-02-25,2317.798760244908
2000-02-28,2274.9336151445646
2000-02-29,2291.598691930879
2000-03-01,2323.154195773063
2000-03-02,2349.0523273653034
2000-03-03,2351.4812591314426
2000-03-06,2358.81711657084
2000-03-07,2335.9566004998314
2000-03-08,2321.05125021941
2000-03-09,2342.6233014086274
2000-03-10,2339.69535672817
2000-03-13,2303.953569087683
2000-03-14,2302.871796575058
2000-03-15,2287.462313286353
2000-03-16,2354.4446898106744
2000-03-17,2350.815263009771
2000-03-20,2361.670433793388
2000-03-21,2375.910970938534
2000-03-22,2363.805188005102
2000-03-23,2372.186727292582
2000-03-24,2415.9730481025026
2000-03-27,2413.3708810479766
2000-03-28,2413.706312267973
2000-03-29,2382.637193719986
2000-03-30,2354.316729999653
2000-03-31,2366.596365330768
